0,1
Bande de crabes, Expression utilisée pour insulter un groupe de personnes en les comparant à des crabes
Quadrupède à cornes, Expression utilisée pour insulter quelqu'un en le comparant à un animal avec des cornes
Phénomène de zoo, Expression utilisée pour désigner quelqu'un comme étant bizarre ou inhabituel
Lâche, Personne qui manque de courage
Vaurien, Personne sans scrupules ni principes moraux
Iconoclaste, Personne qui attaque les traditions établies ou les institutions
Misérable, Personne méprisable et détestée
Babouin, Singe à museau allongé et à crinière
Ectoplasme, Substance imaginaire supposée être libérée par un médium pendant une séance de spiritisme
Dictateur, Personne qui exerce un pouvoir absolu et autoritaire
Pantouflard, Personne qui reste constamment chez elle et ne sort jamais
Rastaquouère, Personne qui se comporte de façon prétentieuse et vulgaire
Froussard, Personne ayant peur ou manquant de courage
Scélérat, Personne perverse et sans moralité
Usurpateur, Personne qui s'empare du pouvoir de façon illégitime
Vermisseau, Petit ver souvent considéré comme nuisible
Fichtre, Interjection utilisée pour exprimer la frustration ou l'étonnement
Sacrebleu, Jurons utilisé pour exprimer la frustration
Mille tonnerres, Expression utilisée pour exprimer une grande frustration ou une colère intense
Nom d'un chien, Expression utilisée pour exprimer la frustration ou la surprise
Zut alors, Expression utilisée pour exprimer la frustration ou le mécontentement
Diantre, Interjection utilisée pour exprimer la frustration ou l'étonnement
Ventrebleu, Jurons utilisé pour exprimer la frustration ou la colère
Diable, Interjection utilisée pour exprimer la frustration
Morbleu, Jurons utilisé pour exprimer la frustration ou l'étonnement
Saperlipopette, Interjection utilisée pour exprimer la frustration
Grrr, Onomatopée utilisée pour exprimer la frustration ou l'énervement
,
